CRF,Original variable,SDTM Domain,Data Type,mapping instruction
2,232,3,0,317
4,87,5,0,267
7,129,6,0,196
3,106,14,2,396
10,250,12,0,273
8,204,7,0,389
1,51,1,1,396
5,135,5,0,151
2,235,11,0,210
10,249,12,1,364
7,244,6,0,267
4,81,5,0,24
11,276,12,0,393
8,215,7,0,134
5,143,5,0,41
5,151,5,0,57
7,187,6,0,364
7,286,6,0,269
7,38,6,0,190
0,286,13,0,183
7,286,6,0,265
10,249,12,0,393
4,97,5,0,267
8,210,7,0,318
7,188,6,0,187
9,286,3,0,265
5,149,5,0,213
7,125,6,0,195
7,129,6,0,196
1,286,1,0,292
10,262,12,0,274
9,240,14,2,395
5,150,5,0,179
4,68,5,0,28
8,218,7,0,342
11,273,12,0,220
7,128,6,0,144
4,85,5,0,267
4,76,5,0,267
7,159,6,0,364
8,219,7,0,208
1,286,10,0,254
8,205,7,0,375
5,144,5,0,168
7,111,6,0,138
2,100,8,0,122
7,125,6,0,195
5,153,5,0,213
1,286,14,0,61
7,182,6,0,364
5,286,5,1,263
0,12,9,0,130
7,103,6,0,191
1,52,1,0,60
8,191,7,0,378
8,199,7,0,375
4,71,5,0,22
10,250,12,1,364
5,132,5,0,2
1,54,1,0,363
5,152,5,0,160
5,152,5,0,159
0,24,0,0,354
7,247,6,0,187
5,136,5,0,174
8,286,7,0,302
7,105,6,0,187
4,91,5,0,267
5,132,5,0,145
10,254,12,1,364
4,96,5,0,267
5,141,5,0,147
7,117,6,0,364
0,30,0,0,364
7,230,6,0,364
7,115,6,0,267
4,83,5,0,27
4,90,5,0,4
1,48,1,0,310
10,286,12,0,265
8,223,7,0,255
9,286,3,0,293
5,142,5,0,150
10,250,12,0,393
4,88,5,0,267
4,79,5,0,65
4,84,5,0,113
4,91,5,0,63
5,286,5,0,185
9,241,3,0,301
8,205,7,0,1
7,170,6,0,364
0,13,9,0,233
11,264,12,0,289
1,4,10,0,369
2,110,3,0,360
0,286,13,0,400
2,100,8,0,207
8,217,7,0,143
7,111,6,0,138
0,23,0,0,304
4,80,5,0,15
7,181,6,0,201
7,128,6,0,267
0,29,2,0,52
8,213,7,0,338
8,212,7,0,55
4,67,5,0,87
11,268,12,0,286
10,286,12,0,297
2,286,3,0,293
4,80,5,0,105
0,286,0,1,376
10,259,12,0,272
8,212,7,0,337
1,286,2,0,254
1,286,1,0,265
7,189,6,0,398
4,72,5,0,98
4,75,5,0,267
8,219,7,0,343
11,276,12,0,289
5,144,5,0,213
4,71,5,0,62
7,112,6,0,192
4,86,5,0,13
7,171,6,0,187
7,161,6,0,187
11,276,12,0,393
7,286,6,0,295
7,157,6,0,211
7,247,6,0,187
5,137,5,0,165
7,176,6,0,200
2,238,11,0,245
5,152,5,0,31
4,87,5,0,79
7,102,6,0,127
8,213,7,0,321
1,45,1,0,307
8,286,7,0,265
8,192,7,0,375
1,3,10,0,225
1,6,10,0,371
7,158,6,0,197
1,286,10,0,184
7,113,6,0,364
1,286,10,0,302
7,104,6,0,364
8,212,7,0,320
8,210,7,0,335
7,244,6,0,267
7,111,6,0,267
1,0,10,0,234
0,286,0,0,376
7,40,6,0,187
0,16,9,0,131
0,15,9,0,132
5,145,5,0,32
8,215,7,0,323
8,216,7,0,324
11,276,12,0,279
7,114,6,0,187
5,137,5,0,213
7,131,6,0,187
8,223,7,0,257
5,137,5,0,166
11,279,12,0,393
10,261,12,0,356
4,74,5,0,84
2,236,11,0,210
4,77,14,2,396
7,115,6,0,140
0,21,0,0,312
0,18,14,2,396
2,286,3,0,265
4,74,5,0,83
11,276,12,0,289
7,115,6,0,140
2,119,8,0,135
11,272,12,0,288
7,123,6,0,187
7,128,6,0,144
2,32,3,0,290
4,96,5,0,117
7,184,6,0,398
0,286,0,0,376
4,87,5,0,80
0,25,0,0,303
2,119,8,0,139
4,79,5,0,66
7,180,6,0,267
11,263,12,0,393
8,286,7,0,302
7,169,6,0,199
4,94,14,2,396
8,221,7,0,329
5,150,5,0,3
4,83,5,0,74
1,286,10,0,259
7,37,6,0,55
2,238,11,0,218
7,164,6,0,212
4,72,5,0,97
5,139,5,0,169
11,264,12,0,289
11,263,12,1,364
5,134,5,0,154
1,46,1,0,309
7,179,6,0,398
8,215,7,0,141
4,82,5,0,94
1,60,1,0,396
7,168,6,0,217
5,146,5,0,171
4,95,5,0,7
10,256,12,0,393
7,122,6,0,364
4,83,5,0,73
1,61,2,0,57
11,275,12,0,393
1,7,10,0,372
6,62,3,0,57
11,279,12,0,282
4,78,5,0,100
4,83,5,0,267
0,286,0,0,269
8,286,7,0,302
8,286,7,0,302
8,206,7,0,219
9,243,14,2,395
11,279,12,0,281
8,286,7,0,302
4,82,5,0,267
11,280,12,1,390
1,7,10,0,229
4,70,5,0,69
10,250,12,0,284
7,164,6,0,212
7,228,6,0,222
4,95,5,0,267
4,84,5,0,267
7,181,6,0,201
5,142,5,0,149
10,258,14,2,59
7,164,6,0,267
8,224,7,0,260
8,286,7,0,302
2,235,11,0,48
4,93,5,0,89
10,250,12,0,393
4,89,5,0,17
4,89,5,0,267
8,196,7,0,383
0,286,9,0,128
3,107,14,2,396
2,234,11,0,210
7,228,6,0,222
