CRF,Original variable,SDTM Domain,SDTM variable,Data Type,mapping instruction
0,249,0,96,0,269
0,249,0,51,0,291
0,249,0,98,0,265
0,18,5,65,0,396
0,249,0,21,1,263
0,27,0,27,0,364
0,30,0,29,0,364
0,249,0,12,0,376
0,249,0,13,1,376
0,249,0,5,0,376
0,249,0,16,1,376
0,249,0,10,0,376
0,249,0,11,1,376
0,249,0,8,0,376
0,249,0,9,1,376
0,21,0,3,0,312
0,22,0,15,0,313
0,249,0,2,0,376
0,249,0,1,1,376
0,249,0,25,0,376
0,249,0,26,1,376
0,26,0,30,0,305
0,25,0,22,0,303
0,10,0,0,0,349
0,23,0,17,0,304
0,20,0,14,0,316
0,24,0,20,0,351
0,24,0,24,0,352
0,24,0,23,0,354
0,24,0,19,0,353
0,24,0,18,0,355
0,17,0,4,0,43
0,28,0,28,0,57
0,11,0,6,0,57
0,19,0,7,0,350
0,249,9,96,0,302
0,249,9,89,0,253
0,249,9,98,0,265
0,249,9,57,0,183
0,249,9,58,0,258
0,14,9,85,0,188
0,13,9,84,0,233
0,15,9,87,0,132
0,16,9,87,0,131
0,12,9,87,0,130
0,249,9,86,0,244
0,249,9,83,0,128
0,249,2,89,0,253
0,249,2,98,0,265
0,249,2,57,0,183
0,249,2,58,0,400
0,29,2,49,0,52
0,31,2,48,0,57
0,249,13,89,0,253
0,249,13,98,0,265
0,249,13,57,0,183
0,249,13,58,0,400
0,29,13,49,0,53
0,31,13,48,0,56
1,249,1,96,0,269
1,249,1,51,0,292
1,249,1,98,0,265
1,53,5,65,0,396
1,41,5,65,0,396
1,42,1,35,0,60
1,249,1,44,1,263
1,57,1,45,0,60
1,59,1,47,0,60
1,60,1,65,0,396
1,249,5,36,0,61
1,52,1,42,0,60
1,44,1,37,0,60
1,47,1,38,0,308
1,48,1,38,0,310
1,45,1,39,0,307
1,46,1,39,0,309
1,55,1,43,0,306
1,56,1,43,0,311
1,58,1,46,0,57
1,51,1,65,1,396
1,49,1,40,0,57
1,50,1,65,1,396
1,54,1,41,0,363
1,249,2,89,0,254
1,249,2,98,0,265
1,249,2,57,0,184
1,249,2,58,0,401
1,43,2,49,0,54
1,61,2,48,0,57
1,249,10,96,0,302
1,249,10,89,0,254
1,249,10,98,0,265
1,249,10,57,0,184
1,249,10,58,0,259
1,0,10,85,0,234
1,0,10,84,0,224
1,0,10,87,0,365
1,1,10,85,0,235
1,1,10,84,0,223
1,1,10,87,0,366
1,2,10,85,0,236
1,2,10,84,0,226
1,2,10,87,0,367
1,3,10,85,0,237
1,3,10,84,0,225
1,3,10,87,0,368
1,4,10,85,0,238
1,4,10,84,0,228
1,4,10,87,0,369
1,5,10,85,0,239
1,5,10,84,0,227
1,5,10,87,0,370
1,6,10,85,0,240
1,6,10,84,0,230
1,6,10,87,0,371
1,7,10,85,0,241
1,7,10,84,0,229
1,7,10,87,0,372
1,8,10,85,0,242
1,8,10,84,0,232
1,8,10,87,0,373
1,9,10,85,0,243
1,9,10,84,0,231
1,9,10,87,0,374
6,65,5,65,0,396
6,62,3,90,0,57
6,64,5,65,0,396
6,63,5,65,0,396
5,249,5,96,0,269
5,249,5,51,0,294
5,249,5,98,0,265
5,249,5,62,1,263
5,249,5,59,0,185
5,151,5,60,0,57
5,249,5,64,0,397
5,132,5,63,0,2
5,132,5,66,0,145
5,132,5,65,0,146
5,132,5,61,0,214
5,141,5,63,0,13
5,141,5,66,0,147
5,141,5,65,0,148
5,141,5,61,0,213
5,142,5,63,0,25
5,142,5,66,0,149
5,142,5,65,0,150
5,142,5,61,0,213
5,135,5,63,0,26
5,135,5,66,0,151
5,135,5,65,0,152
5,135,5,61,0,213
5,134,5,63,0,27
5,134,5,66,0,153
5,134,5,65,0,154
5,134,5,61,0,213
5,153,5,63,0,28
5,153,5,66,0,155
5,153,5,65,0,156
5,153,5,61,0,213
5,140,5,63,0,30
5,140,5,66,0,157
5,140,5,65,0,158
5,140,5,61,0,213
5,152,5,63,0,31
5,152,5,66,0,159
5,152,5,65,0,160
5,152,5,61,0,213
5,145,5,63,0,32
5,145,5,66,0,161
5,145,5,65,0,162
5,145,5,61,0,213
5,133,5,63,0,33
5,133,5,66,0,163
5,133,5,65,0,164
5,133,5,61,0,213
5,137,5,63,0,34
5,137,5,66,0,165
5,137,5,65,0,166
5,137,5,61,0,213
5,144,5,63,0,35
5,144,5,66,0,167
5,144,5,65,0,168
5,144,5,61,0,213
5,139,5,63,0,36
5,139,5,66,0,169
5,139,5,65,0,170
5,139,5,61,0,213
5,146,5,63,0,38
5,146,5,66,0,171
5,146,5,65,0,172
5,146,5,61,0,213
5,136,5,63,0,39
5,136,5,66,0,173
5,136,5,65,0,174
5,136,5,61,0,213
5,147,5,63,0,40
5,147,5,66,0,175
5,147,5,65,0,176
5,147,5,61,0,213
5,143,5,63,0,41
5,143,5,66,0,177
5,143,5,65,0,178
5,143,5,61,0,213
5,150,5,63,0,3
5,150,5,66,0,179
5,150,5,65,0,180
5,150,5,61,0,213
5,149,5,63,0,4
5,149,5,66,0,181
5,149,5,65,0,182
5,149,5,61,0,213
5,138,5,63,0,5
5,138,5,66,0,181
5,138,5,65,0,182
5,138,5,61,0,213
5,138,5,65,0,396
5,148,5,65,0,396
4,99,5,60,0,57
4,249,5,59,0,124
4,79,5,63,0,2
4,79,5,66,0,65
4,79,5,65,0,66
4,79,5,61,0,268
4,86,5,63,0,13
4,86,5,66,0,67
4,86,5,65,0,68
4,86,5,61,0,267
4,70,5,63,0,25
4,70,5,66,0,69
4,70,5,65,0,70
4,70,5,61,0,267
4,88,5,63,0,26
4,88,5,66,0,71
